Nama,Gaji_Ortu,Cicilan_Ortu,Jumlah_Saudara,Nilai_Rata_rata,Pekerjaan_Ortu,S,V,Ranking
Wahyu Rizal,1700000,0,4,88,Buruh,1.440393499559945,0.20265569914150122,1
Andi Pratama,1500000,0,3,88,Buruh,1.4321392361468441,0.2014943682111748,2
Sari Melati,1600000,0,3,90,Buruh,1.4137221008851222,0.1989031753018843,3
Lestari Dewi,1800000,0,4,87,Pedagang,1.4103143372886249,0.19842372110109258,4
Yoga Saputra,1900000,0,4,86,Tukang,1.3821211296465634,0.1944570868393516,5
Fitri Handayani,2000000,200000,4,89,Petani,0.00339112539533808,0.00047711329444259117,6
Dewi Anggraini,2400000,500000,3,89,Pedagang,0.0024827142393242323,0.0003493046796535294,7
Siti Rahma,2000000,500000,2,85,Petani,0.002432508040646674,0.00034224093471345144,8
Dwi Anggara,2200000,500000,2,84,Tukang,0.0023536216272371227,0.0003311420362060906,9
Rani Oktavia,2800000,600000,3,91,Pedagang,0.00228572924410991,0.0003215899392456202,10
Fajar Hidayat,2500000,800000,3,86,Sopir,0.0021766324597399384,0.00030624060233362996,11
Ridho Prasetyo,2700000,700000,2,85,Sopir,0.0020522474849964736,0.0002887402984048522,12
Rina Amelia,3000000,1000000,3,90,Wiraswasta,0.001982133432457051,0.0002788756243825371,13
Nanda Kusuma,3500000,1000000,2,79,Karyawan Swasta,0.0017061718921119245,0.0002400493044137973,14
Nabila Zahra,3800000,1000000,1,88,Wiraswasta,0.0015457461628666255,0.00021747825814732655,15
Deni Saputra,4000000,1500000,1,82,Karyawan Swasta,0.0013558476648294522,0.00019076055017558022,16
Maya Putri,5500000,1200000,1,92,PNS,0.0013409008866377705,0.00018865761803566595,17
Adi Firmansyah,4500000,1500000,1,83,Karyawan Swasta,0.0013124761671838544,0.0001846584112941788,18
Arman Nugroho,5800000,2000000,2,81,PNS,0.0012542954714359633,0.0001764726970591937,19
Budi Santoso,6000000,2000000,2,78,PNS,0.0012269487328420963,0.0001726251564873478,20
